Tipo;Linea;Percorso;verso;Prog;Fermata;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S-F
S;11; Milano Porta Garibaldi - Chiasso;1;11; Cuggiago;06.27;06.57;07.27;07.57;08.27;09.27;10.27;11.27;12.27;12.57;13.27;13.57;14.27;14.57;15.27;15.57;16.27;16.57;17.27;17.57;18.27;18.57;19.27;19.57;20.27;20.57;21.27;21.57;22.27;23.27
S;11; Milano Porta Garibaldi - Chiasso;1;12; Albate Camerlata;06.32;07.02;07.32;08.02;08.32;09.32;10.32;11.32;12.32;13.02;13.32;14.02;14.32;15.02;15.32;16.02;16.32;17.02;17.32;18.02;18.32;19.03;19.32;20.02;20.32;21.02;21.32;22.02;22.32;23.32
S;11; Milano Porta Garibaldi - Chiasso;1;13; Como San Giovanni;06.38;07.08;07.38;08.08;08.38;09.38;10.38;11.38;12.38;13.08;13.38;14.08;14.38;15.08;15.38;16.08;16.38;17.08;17.38;18.08;18.38;19.09;19.38;20.08;20.38;21.14;21.38;22.09;22.38;23.38
S;11; Milano Porta Garibaldi - Chiasso;1;14; Chiasso;06.45;07.15;07.45;08.15;08.45;09.45;10.45;11.45;12.45;13.15;13.45;14.15;14.45;15.15;15.45;;16.45;17.15;17.45;;18.45;19.14;19.45;20.15;20.45;;21.45;;22.45;23.45
S;11;Chiasso -  Milano Porta Garibaldi;0;1; Chiasso;05.16;06.16;06.46;07.16; 07.46;08.16;08.46;09.16;10.16;11.16; 11.46;12.16; 12.46;13.16; 13.46;14.16;15.16; 15.46;16.16; 16.52;17.16; 17.46;18.16; 18.52;19.16; 19.46;20.16;21.16;22.16;
S;11;Chiasso -  Milano Porta Garibaldi;0;2; Como San Giovanni;05.22;06.22;06.52;07.22; 07.52;08.22;08.52;09.22;10.22;11.22; 11.52;12.22; 12.52;13.22; 13.52;14.22;15.22; 15.52;16.22; 16.58;17.22; 17.52;18.22; 18.58;19.22;19.52;20.22;21.22;22.22;
S;11;Chiasso -  Milano Porta Garibaldi;0;3; Albate Camerlata;05.28;06.28;06.58;07.28; 07.58;08.28;08.58;09.28;10.28;11.28; 11.58;12.28; 12.58;13.28; 13.58;14.28;15.28; 15.58;16.28; 17.03;17.28; 17.58;18.28;19.03;19.28;19.58;20.28;21.28;22.28;
S;11;Chiasso -  Milano Porta Garibaldi;0;4; Cuggiago;05.33;06.33; 07.03;07.33; 08.03;08.33;09.03;09.33;10.33;11.33; 12.03;12.33; 13.03;13.33; 14.03;14.33;15.33; 16.03;16.33; 17.07;17.33; 18.03;18.33;19.07;19.33; 20.03;20.33;21.33;22.33;
S;11;Chiasso -  Milano Porta Garibaldi;0;5; Cantù Cermenate;05.37;06.37; 07.07;07.37; 08.07;08.37;09.07;09.37;10.37;11.37; 12.07;12.37; 13.07;13.37; 14.07;14.37;15.37; 16.07;16.37; 17.10;17.37; 18.07;18.37;19.10;19.37; 20.07;20.37;21.37;22.37;
S;11;Chiasso -  Milano Porta Garibaldi;0;6; Carimate;05.40;06.40; 07.10;07.40; 08.10;08.40;09.10;09.40;10.40;11.40; 12.10;12.40; 13.10;13.40; 14.10;14.40;15.40; 16.10;16.40; 17.14;17.40; 18.10;18.40;19.14;19.40; 20.10;20.40;21.40;22.40;
S;11;Chiasso -  Milano Porta Garibaldi;0;7; Camnago Lentate;05.44;06.44; 07.14;07.44; 08.14;08.44;09.14;09.44;10.44;11.44; 12.14;12.44; 13.14;13.44; 14.14;14.44;15.44; 16.14;16.44; 17.20;17.44; 18.14;18.44;19.20;19.44; 20.14;20.44;21.44;22.44;
S;11;Chiasso -  Milano Porta Garibaldi;0;8; Seregno;05.50;06.50; 07.20;07.50; 08.20;08.50;09.20;09.50;10.50;11.50; 12.20;12.50; 13.20;13.50; 14.20;14.50;15.50; 16.20;16.50; 17.24;17.50; 18.20;18.50;19.24;19.50; 20.20;20.50;21.50;22.50;
S;11;Chiasso -  Milano Porta Garibaldi;0;9; Desio;05.54;06.54; 07.24;07.54; 08.24;08.54;09.24;09.54;10.54;11.54; 12.24;12.54; 13.24;13.54; 14.24;14.54;15.54; 16.24;16.54; 17.27;17.54; 18.24;18.54;19.27;19.54; 20.24;20.54;21.54;22.54;
S;11;Chiasso -  Milano Porta Garibaldi;0;10; Lissone;05.57;06.57; 07.27;07.57; 08.27;08.57;09.27;09.57;10.57;11.57; 12.27;12.57; 13.27;13.57; 14.27;14.57;15.57; 16.27;16.57; 17.32;17.57; 18.27;18.57;19.32;19.57; 20.27;20.57;21.57;22.57;
S;11;Chiasso -  Milano Porta Garibaldi;0;11; Monza;06.02;07.02; 07.36;08.02; 08.32;09.02;09.32;10.02;11.02;12.02; 12.32;13.02; 13.32;14.02; 14.32;15.02;16.02; 16.32;17.02; 17.38;18.02; 18.32;19.02;19.38;20.02; 20.32;21.02;22.02;23.02;
S;11;Chiasso -  Milano Porta Garibaldi;0;12; Sesto San Giovanni;06.08;07.08; 07.43;08.08; 08.38;09.08;09.38;10.08;11.08;12.08; 12.38;13.08; 13.38;14.08; 14.38;15.08;16.08; 16.38;17.08; 17.43;18.08; 18.38;19.08;19.43;20.08; 20.38;21.08;22.08;23.08;
S;11;Chiasso -  Milano Porta Garibaldi;0;13; Milano Greco Pirelli;06.13;07.13; 07.47;08.13; 08.43;09.13;09.43;10.13;11.13;12.13; 12.43;13.13; 13.43;14.13; 14.43;15.13;16.13; 16.43;17.13; 17.51;18.13; 18.43;19.13; 19.51;20.13; 20.43;21.13;22.13;23.13;
S;11;Chiasso -  Milano Porta Garibaldi;0;14; Milano Porta Garibaldi;06.21;07.21; 07.54;08.21; 08.51;09.21;09.51;10.21;11.21;12.21; 12.51;13.21; 13.51;14.21; 14.51;15.21;16.21; 16.51;17.21;;18.21; 18.51;19.21;;20.21; 20.51;21.21;22.21;23.21;
;;;;;;LV-S-F;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S-F;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S-F;LV-S-F;
